Date,Weekday,Trade,Direction,1H,1H Location,SL,Pullback,TP,R
2026-01-12,Monday,#1,Buy,Buy,,3.5,3.5,,
2026-01-12,Monday,#2,Buy,Buy,TRUE,1.1,0.8,12.0,10.0
2026-01-12,Monday,#3,Sell,Sell,TRUE,0.9,2.1,30.0,-10.0
2026-01-12,Monday,#4,Buy,Buy,TRUE,2.0,3.4,21.0,-6.0
2026-01-12,Monday,#5,Buy,Sell,,2.1,1.8,11.0,5.0
2026-01-13,Tuesday,#1,Sell,Buy,,0.6,0.6,,
2026-01-13,Tuesday,#2,Sell,Buy,,0.6,0.8,29.0,-10.0
2026-01-13,Tuesday,#3,Buy,Buy,,2.5,2.5,,
2026-01-13,Tuesday,#4,Sell,Sell,TRUE,9.4,9.0,33.0,3.0
2026-01-14,Wednesday,#1,Buy,Buy,TRUE,2.1,1.4,18.0,8.0
2026-01-14,Wednesday,#2,Sell,Buy,TRUE,4.0,4.0,,
2026-01-14,Wednesday,#3,Sell,Sell,,0.6,3.4,10.0,-2.0
2026-01-14,Wednesday,#4,Sell,Buy,TRUE,2.2,1.5,12.0,5.0
2026-01-14,Wednesday,#5,Sell,Sell,TRUE,0.8,2.0,24.0,-10.0
2026-01-15,Thursday,#1,Sell,Sell,,0.4,0.4,,
2026-01-15,Thursday,#2,Sell,Sell,,2.6,1.3,45.0,10.0
2026-01-15,Thursday,#3,Buy,Sell,,1.2,1.2,,
2026-01-15,Thursday,#4,Buy,Sell,,1.8,0.6,20.0,10.0
2026-01-15,Thursday,#5,Sell,Sell,TRUE,0.9,1.1,6.0,-5.0
2026-01-16,Friday,#1,Buy,Sell,,1.0,0.7,,
2026-01-16,Friday,#2,Sell,Sell,,1.2,1.5,5.0,-3.0
2026-01-16,Friday,#3,Sell,Sell,,1.1,1.1,,
2026-01-16,Friday,#4,Buy,Sell,,0.8,0.4,15.0,10.0
2026-01-16,Friday,#5,Sell,Sell,TRUE,1.1,2.9,40.0,-10.0
2026-01-19,Monday,#1,Buy,Buy,TRUE,1.6,1.6,,
2026-01-19,Monday,#2,Sell,Buy,TRUE,0.3,1.8,6.0,-3.0
2026-01-19,Monday,#3,Sell,Buy,,0.8,0.8,,
2026-01-19,Monday,#4,Sell,Buy,,1.1,1.1,,
2026-01-19,Monday,#5,Sell,Buy,,0.7,0.7,,
2026-01-20,Tuesday,#1,Sell,Buy,,3.1,4.2,13.0,-3.0
2026-01-20,Tuesday,#2,Buy,Buy,,2.7,2.1,50.0,10.0
2026-01-20,Tuesday,#3,Buy,Buy,,1.5,4.0,46.0,-10.0
2026-01-20,Tuesday,#4,Buy,Buy,,7.0,6.1,20.0,2.0
2026-01-21,Wednesday,#1,Buy,Sell,,2.0,2.0,,
2026-01-21,Wednesday,#2,Buy,Sell,,0.7,0.7,,
